timestamp,event_id,rainfall_mm,antecedent_precipitation_mm,flow_cms,hydrolite_flow_cms,system_error_cms,lead_time_hr,source,quality_status
2025-01-01 00:00:00,event_1,0.0000,0.0000,0.0000,0.0000,0.0000,1,synthetic,synthetic_demo
2025-01-01 01:00:00,event_1,0.0000,0.0000,0.1870,0.0000,0.1870,1,synthetic,synthetic_demo
2025-01-01 02:00:00,event_1,0.1546,0.1546,0.4629,0.0850,0.3779,1,synthetic,synthetic_demo
2025-01-01 03:00:00,event_1,0.0000,0.1546,0.6155,0.0612,0.5543,1,synthetic,synthetic_demo
2025-01-01 04:00:00,event_1,0.0000,0.1546,0.7667,0.0441,0.7227,1,synthetic,synthetic_demo
2025-01-01 05:00:00,event_1,0.0000,0.1546,0.9119,0.0317,0.8802,1,synthetic,synthetic_demo
2025-01-01 06:00:00,event_1,0.0000,0.1546,1.0471,0.0228,1.0243,1,synthetic,synthetic_demo
2025-01-01 07:00:00,event_1,0.0000,0.1546,1.1691,0.0164,1.1526,1,synthetic,synthetic_demo
2025-01-01 08:00:00,event_1,0.7476,0.9022,1.7191,0.4230,1.2960,1,synthetic,synthetic_demo
2025-01-01 09:00:00,event_1,3.3893,4.2915,3.6956,2.1687,1.5269,1,synthetic,synthetic_demo
2025-01-01 10:00:00,event_1,5.5064,9.7979,6.3807,4.5900,1.7907,1,synthetic,synthetic_demo
2025-01-01 11:00:00,event_1,7.1994,16.9972,9.3169,7.2644,2.0525,1,synthetic,synthetic_demo
2025-01-01 12:00:00,event_1,9.8840,26.8812,13.0162,10.6666,2.3496,1,synthetic,synthetic_demo
2025-01-01 13:00:00,event_1,12.7229,39.6041,17.3495,14.6775,2.6720,1,synthetic,synthetic_demo
2025-01-01 14:00:00,event_1,14.5929,54.1971,21.5574,18.5939,2.9635,1,synthetic,synthetic_demo
2025-01-01 15:00:00,event_1,15.9815,70.1786,25.3828,22.1775,3.2053,1,synthetic,synthetic_demo
2025-01-01 16:00:00,event_1,18.4804,88.6590,29.5865,26.1320,3.4545,1,synthetic,synthetic_demo
2025-01-01 17:00:00,event_1,22.5002,111.1592,34.9608,31.1901,3.7707,1,synthetic,synthetic_demo
2025-01-01 18:00:00,event_1,24.8491,136.0083,40.1809,36.1239,4.0570,1,synthetic,synthetic_demo
2025-01-01 19:00:00,event_1,22.3789,158.3872,42.4236,38.3176,4.1059,1,synthetic,synthetic_demo
2025-01-01 20:00:00,event_1,19.3010,177.6882,42.1583,38.2043,3.9540,1,synthetic,synthetic_demo
2025-01-01 21:00:00,event_1,16.1610,193.8493,40.0482,36.3956,3.6525,1,synthetic,synthetic_demo
2025-01-01 22:00:00,event_1,14.5002,208.3494,37.4868,34.1799,3.3069,1,synthetic,synthetic_demo
2025-01-01 23:00:00,event_1,11.5179,219.8674,33.8152,30.9444,2.8707,1,synthetic,synthetic_demo
2025-01-02 00:00:00,event_1,10.4862,230.3536,30.5029,28.0474,2.4555,1,synthetic,synthetic_demo
2025-01-02 01:00:00,event_1,7.8430,238.1966,26.4933,24.5078,1.9855,1,synthetic,synthetic_demo
2025-01-02 02:00:00,event_1,4.1106,242.3072,21.3367,19.9064,1.4302,1,synthetic,synthetic_demo
2025-01-02 03:00:00,event_1,3.0588,245.2114,16.9492,16.0150,0.9343,1,synthetic,synthetic_demo
2025-01-02 04:00:00,event_1,0.0000,245.2114,11.9271,11.5308,0.3963,1,synthetic,synthetic_demo
2025-01-02 05:00:00,event_1,0.0000,245.2114,8.2691,8.3022,-0.0330,1,synthetic,synthetic_demo
2025-01-02 06:00:00,event_1,0.0000,245.2114,5.5984,5.9776,-0.3791,1,synthetic,synthetic_demo
2025-01-02 07:00:00,event_1,0.0746,245.2860,3.6883,4.3449,-0.6565,1,synthetic,synthetic_demo
2025-01-02 08:00:00,event_1,0.6599,245.9459,2.6353,3.4913,-0.8559,1,synthetic,synthetic_demo
2025-01-02 09:00:00,event_1,0.6907,245.8890,1.8765,2.8936,-1.0171,1,synthetic,synthetic_demo
