date,subbasin_id,soil_moisture_fraction,quality_status,source,synthetic_demo
2000-01-01,SB1,0.18736,synthetic_demo,synthetic soil bucket proxy,True
2000-01-02,SB1,0.17492,synthetic_demo,synthetic soil bucket proxy,True
2000-01-03,SB1,0.19397,synthetic_demo,synthetic soil bucket proxy,True
2000-01-04,SB1,0.18845,synthetic_demo,synthetic soil bucket proxy,True
2000-01-05,SB1,0.19772,synthetic_demo,synthetic soil bucket proxy,True
2000-01-06,SB1,0.18339,synthetic_demo,synthetic soil bucket proxy,True
2000-01-07,SB1,0.19903,synthetic_demo,synthetic soil bucket proxy,True
2000-01-08,SB1,0.18096,synthetic_demo,synthetic soil bucket proxy,True
2000-01-09,SB1,0.20068,synthetic_demo,synthetic soil bucket proxy,True
2000-01-10,SB1,0.19655,synthetic_demo,synthetic soil bucket proxy,True
2000-01-11,SB1,0.18879,synthetic_demo,synthetic soil bucket proxy,True
2000-01-12,SB1,0.18212,synthetic_demo,synthetic soil bucket proxy,True
2000-01-13,SB1,0.20097,synthetic_demo,synthetic soil bucket proxy,True
2000-01-14,SB1,0.19432,synthetic_demo,synthetic soil bucket proxy,True
2000-01-15,SB1,0.19559,synthetic_demo,synthetic soil bucket proxy,True
2000-01-16,SB1,0.2302,synthetic_demo,synthetic soil bucket proxy,True
2000-01-17,SB1,0.22065,synthetic_demo,synthetic soil bucket proxy,True
2000-01-18,SB1,0.23512,synthetic_demo,synthetic soil bucket proxy,True
2000-01-19,SB1,0.21515,synthetic_demo,synthetic soil bucket proxy,True
2000-01-20,SB1,0.22558,synthetic_demo,synthetic soil bucket proxy,True
2000-01-21,SB1,0.23406,synthetic_demo,synthetic soil bucket proxy,True
2000-01-22,SB1,0.24445,synthetic_demo,synthetic soil bucket proxy,True
2000-01-23,SB1,0.22522,synthetic_demo,synthetic soil bucket proxy,True
2000-01-24,SB1,0.22951,synthetic_demo,synthetic soil bucket proxy,True
2000-01-25,SB1,0.22201,synthetic_demo,synthetic soil bucket proxy,True
2000-01-26,SB1,0.21948,synthetic_demo,synthetic soil bucket proxy,True
2000-01-27,SB1,0.24658,synthetic_demo,synthetic soil bucket proxy,True
2000-01-28,SB1,0.2233,synthetic_demo,synthetic soil bucket proxy,True
2000-01-29,SB1,0.24593,synthetic_demo,synthetic soil bucket proxy,True
2000-01-30,SB1,0.24114,synthetic_demo,synthetic soil bucket proxy,True
2000-01-31,SB1,0.23168,synthetic_demo,synthetic soil bucket proxy,True
2000-02-01,SB1,0.22187,synthetic_demo,synthetic soil bucket proxy,True
2000-02-02,SB1,0.2525,synthetic_demo,synthetic soil bucket proxy,True
2000-02-03,SB1,0.23854,synthetic_demo,synthetic soil bucket proxy,True
2000-02-04,SB1,0.23162,synthetic_demo,synthetic soil bucket proxy,True
2000-02-05,SB1,0.23164,synthetic_demo,synthetic soil bucket proxy,True
2000-02-06,SB1,0.23771,synthetic_demo,synthetic soil bucket proxy,True
2000-02-07,SB1,0.23498,synthetic_demo,synthetic soil bucket proxy,True
2000-02-08,SB1,0.23959,synthetic_demo,synthetic soil bucket proxy,True
2000-02-09,SB1,0.23371,synthetic_demo,synthetic soil bucket proxy,True
2000-02-10,SB1,0.23617,synthetic_demo,synthetic soil bucket proxy,True
2000-02-11,SB1,0.26087,synthetic_demo,synthetic soil bucket proxy,True
2000-02-12,SB1,0.24646,synthetic_demo,synthetic soil bucket proxy,True
2000-02-13,SB1,0.25104,synthetic_demo,synthetic soil bucket proxy,True
2000-02-14,SB1,0.23766,synthetic_demo,synthetic soil bucket proxy,True
